# chirpmass               merger_rate
8.705505632961241247e-02 6.652807660217542434e+05
9.705505632961240747e-02 4.948070719898687676e+05
1.070550563296124025e-01 3.678947619209135883e+05
1.170550563296123975e-01 2.756014686658752616e+05
1.270550563296123925e-01 2.080402264686423005e+05
1.370550563296124014e-01 1.608424467617885675e+05
1.470550563296123825e-01 1.342234685164303228e+05
1.570550563296123636e-01 1.120104118257210357e+05
1.670550563296123725e-01 9.439596042681661493e+04
1.770550563296123814e-01 7.955138813700806350e+04
1.870550563296123625e-01 6.717787097268635989e+04
1.970550563296123436e-01 5.866861115485276969e+04
2.070550563296123525e-01 5.189213902398893697e+04
2.170550563296123614e-01 4.589767376791252173e+04
2.270550563296123425e-01 4.063914303573479265e+04
2.370550563296123237e-01 3.599474548228702042e+04
2.470550563296123325e-01 3.188103406728485061e+04
2.570550563296123414e-01 2.823738117242402950e+04
2.670550563296123503e-01 2.517885397466731956e+04
2.770550563296123037e-01 2.305329969244075255e+04
2.870550563296123125e-01 2.122342296306208664e+04
2.970550563296123214e-01 1.953791732836004667e+04
3.070550563296122748e-01 1.798584466442837220e+04
3.170550563296122837e-01 1.663826660038752743e+04
3.270550563296122926e-01 1.539164393430209566e+04
3.370550563296123014e-01 1.423841430845766990e+04
3.470550563296123103e-01 1.317158178242025133e+04
3.570550563296122637e-01 1.218467441340088408e+04
3.670550563296122726e-01 1.128871953689346265e+04
3.770550563296122815e-01 1.048338788510235099e+04
3.870550563296122348e-01 9.791165571881541837e+03
3.970550563296122437e-01 9.160525135999789200e+03
4.070550563296122526e-01 8.570466830384326386e+03
4.170550563296122615e-01 8.018381612303692236e+03
4.270550563296122704e-01 7.501828013879343416e+03
4.370550563296122237e-01 7.033148450979996596e+03
4.470550563296122326e-01 6.598320576782522949e+03
4.570550563296122415e-01 6.190114281498589662e+03
4.670550563296121949e-01 5.806917652507336243e+03
4.770550563296122037e-01 5.447215173190883434e+03
4.870550563296122126e-01 5.109582036963199243e+03
4.970550563296122215e-01 4.792678791694737811e+03
5.070550563296122304e-01 4.495246295639838536e+03
5.170550563296121283e-01 4.225910698685581337e+03
5.270550563296121371e-01 3.973550223577979068e+03
5.370550563296121460e-01 3.752339398410583271e+03
5.470550563296121549e-01 3.614510785142537770e+03
5.570550563296121638e-01 3.481705520166161932e+03
5.670550563296121727e-01 3.353741831175539119e+03
5.770550563296121815e-01 3.230444481002724842e+03
5.870550563296121904e-01 3.111644533993788173e+03
5.970550563296121993e-01 2.997179130696143147e+03
6.070550563296122082e-01 2.887691518151048058e+03
6.170550563296121060e-01 2.782747348758040062e+03
